ID	Name	type	cost	attack	health	durability	text	inPlayText	mechanics	playerClass	rarity
CS2_105	Heroic Strike	Spell	2				Give your hero +4 Attack this turn.			Warrior	
EX1_246	Hex	Spell	3				Transform a minion into a 0/1 Frog with <b>Taunt</b>.			Shaman	
EX1_246e	Hexxed	Enchantment					This minion has been transformed!		Morph	Shaman	
CS2_089	Holy Light	Spell	2				Restore #6 Health.			Paladin	
CS1_112	Holy Nova	Spell	5				Deal $2 damage to all enemies. Restore #2 Health to all friendly characters.			Priest	
CS1_130	Holy Smite	Spell	1				Deal $2 damage.			Priest	
DS1_070	Houndmaster	Minion	4	4	3		<b>Battlecry:</b> Give a friendly Beast +2/+2 and <b>Taunt</b>.	Beastmaster	Battlecry	Hunter	
NEW1_034	Huffer	Minion	3	4	2		<b>Charge</b>","race":"Beast		Charge	Hunter	Beast
EX1_360e	Humility	Enchantment					Attack has been changed to 1.			Paladin	
EX1_360	Humility	Spell	1				Change a minion's Attack to 1.			Paladin	
CS2_084e	Hunter's Mark	Enchantment					This minion has 1 Health.			Hunter	
CS2_084	Hunter's Mark	Spell	0				Change a minion's Health to 1.			Hunter	
EX1_169	Innervate	Spell	0				Gain 2 Mana Crystals this turn only.			Druid	
CS2_232	Ironbark Protector	Minion	8	8	8		<b>Taunt</b>		Taunt	Druid	
CS2_141	Ironforge Rifleman	Minion	3	2	2		<b>Battlecry:</b> Deal 1 damage.		Battlecry		
CS2_125	Ironfur Grizzly	Minion	3	3	3		<b>Taunt</b>		Taunt		Beast
HERO_08	Jaina Proudmoore	Hero			30					Mage	
EX1_539	Kill Command	Spell	3				Deal $3 damage. If you have a Beast, deal $5 damage instead.			Hunter	
CS2_142	Kobold Geomancer	Minion	2	2	2		<b>Spell Damage +1</b>		Spellpower		
NEW1_011	Kor'kron Elite	Minion	4	4	3		<b>Charge</b>		Charge	Warrior	
NEW1_033	Leokk	Minion	3	2	4		Other friendly minions have +1 Attack.","race":"Beast			Hunter	Beast
CS1h_001	Lesser Heal	Hero Power	2				<b>Hero Power</b>\nRestore 2 Health.			Priest	
CS2_056	Life Tap	Hero Power	2				<b>Hero Power</b>\nDraw a card and take 2 damage.			Warlock	
CS2_091	Light's Justice	Weapon	1	1		4				Paladin	
CS2_162	Lord of the Arena	Minion	6	6	5		<b>Taunt</b>		Taunt		
CS2_118	Magma Rager	Minion	3	5	1						
HERO_06	Malfurion Stormrage	Hero			30					Druid	
CS2_009	Mark of the Wild	Spell	2				Give a minion <b>Taunt</b> and +2/+2.<i> (+2 Attack/+2 Health)</i>			Druid	
CS2_009e	Mark of the Wild	Enchantment					This minion has +2/+2 and <b>Taunt</b>.			Druid	
DS1_070o	Master's Presence	Enchantment					+2/+2 and <b>Taunt</b>.			Hunter	
DS1_233	Mind Blast	Spell	2				Deal $5 damage to the enemy hero.			Priest	
CS1_113	Mind Control	Spell	10				Take control of an enemy minion.			Priest	
CS1_113e	Mind Control	Enchantment					This minion has switched controllers.			Priest	
CS2_003	Mind Vision	Spell	1				Put a copy of a random card in your opponent's hand into your hand.			Priest	
CS2_mirror	Mirror Image	Minion	0	0	2		<b>Taunt</b>		Taunt	Mage	
CS2_027	Mirror Image	Spell	1				Summon two 0/2 minions with <b>Taunt</b>.			Mage	
NEW1_032	Misha	Minion	3	4	4		<b>Taunt</b>","race":"Beast		Taunt	Hunter	Beast
CS2_008	Moonfire	Spell	0				Deal $1 damage.			Druid	
EX1_302	Mortal Coil	Spell	1				Deal $1 damage to a minion. If that kills it, draw a card.			Warlock	
DS1_183	Multi-Shot	Spell	4				Deal $3 damage to two random enemy minions.			Hunter	
CS2_168	Murloc Raider	Minion	1	2	1						Murloc
EX1_506	Murloc Tidehunter	Minion	2	2	1		<b>Battlecry:</b> Summon a 1/1 Murloc Scout.		Battlecry		Murloc
EX1_593	Nightblade	Minion	5	4	4		<b>Battlecry: </b>Deal 3 damage to the enemy hero.		Battlecry		
CS2_235	Northshire Cleric	Minion	1	1	3		Whenever a minion is healed, draw a card.		HealTarget	Priest	
EX1_015	Novice Engineer	Minion	2	1	1		<b>Battlecry:</b> Draw a card.		Battlecry		
CS2_119	Oasis Snapjaw	Minion	4	2	7						Beast
CS2_197	Ogre Magi	Minion	4	4	4		<b>Spell Damage +1</b>		Spellpower		
CS2_022e	Polymorph	Enchantment					This minion has been transformed into a 1/1 Sheep.		Morph	Mage	
CS2_022	Polymorph	Spell	4				Transform a minion into a 1/1 Sheep.			Mage	
CS2_004	Power Word: Shield	Spell	1				Give a minion +2 Health.\nDraw a card.			Priest	
CS2_004e	Power Word: Shield	Enchantment					+2 Health.			Priest	
CS2_122	Raid Leader	Minion	3	2	2		Your other minions have +1 Attack.	Lead	Aura		
CS2_196	Razorfen Hunter	Minion	3	2	3		<b>Battlecry:</b> Summon a 1/1 Boar.		Battlecry		
CS2_213	Reckless Rocketeer	Minion	6	5	2		<b>Charge</b>		Charge		
CS2_101	Reinforce	Hero Power	2				<b>Hero Power</b>\nSummon a 1/1 Silver Hand Recruit.			Paladin	
HERO_05	Rexxar	Hero			30					Hunter	
CS2_120	River Crocolisk	Minion	2	2	3						Beast
CS2_045e	Rockbiter Weapon	Enchantment					This character has +3 Attack this turn.		OneTurnEffect	Shaman	
CS2_045	Rockbiter Weapon	Spell	1				Give a friendly character +3 Attack this turn.			Shaman	
NEW1_003	Sacrificial Pact	Spell	0				Destroy a Demon. Restore #5 Health to your hero.			Warlock	
EX1_581	Sap	Spell	2				Return an enemy minion to your opponent's hand.			Rogue	
CS2_011	Savage Roar	Spell	3				Give your characters +2 Attack this turn.			Druid	
CS2_011o	Savage Roar	Enchantment					+2 Attack this turn.		OneTurnEffect	Druid	
CS2_050	Searing Totem	Minion	1	1	1					Shaman	Totem
CS2_179	Sen'jin Shieldmasta	Minion	4	3	5		<b>Taunt</b>		Taunt		
CS2_057	Shadow Bolt	Spell	3				Deal $4 damage to a minion.			Warlock	
EX1_622	Shadow Word: Death	Spell	3				Destroy a minion with an Attack of 5 or more.			Priest	
CS2_234	Shadow Word: Pain	Spell	2				Destroy a minion with 3 or less Attack.			Priest	
CS2_017	Shapeshift	Hero Power	2				<b>Hero Power</b>\n+1 Attack this turn.\n+1 Armor.			Druid	
CS2_083e	Sharpened	Enchantment					+1 Attack this turn.		OneTurnEffect	Rogue	
EX1_019	Shattered Sun Cleric	Minion	3	3	2		<b>Battlecry:</b> Give a friendly minion +1/+1.		Battlecry		
EX1_606	Shield Block	Spell	3				Gain 5 Armor.\nDraw a card.			Warrior	
EX1_278	Shiv	Spell	2				Deal $1 damage. Draw a card.			Rogue	
CS2_101t	Silver Hand Recruit	Minion	1	1	1					Paladin	
CS2_127	Silverback Patriarch	Minion	3	1	4		<b>Taunt</b>		Taunt		Beast
CS2_075	Sinister Strike	Spell	1				Deal $3 damage to the enemy hero.			Rogue	
EX1_308	Soulfire	Spell	1				Deal $4 damage. Discard a random card.			Warlock	
CS2_077	Sprint	Spell	7				Draw 4 cards.			Rogue	
EX1_173	Starfire	Spell	6				Deal $5 damage.\nDraw a card.			Druid	
CS2_237	Starving Buzzard	Minion	5	3	2		Whenever you summon a Beast, draw a card.	Soaring		Hunter	Beast
DS1h_292	Steady Shot	Hero Power	2				<b>Hero Power</b>\nDeal 2 damage to the enemy hero.			Hunter	
CS2_051	Stoneclaw Totem	Minion	1	0	2		<b>Taunt</b>","race":"Totem		Taunt	Shaman	Totem
CS2_171	Stonetusk Boar	Minion	1	1	1		<b>Charge</b>		Charge		Beast
CS2_150	Stormpike Commando	Minion	5	4	2		<b>Battlecry:</b> Deal 2 damage.		Battlecry		
CS2_222	Stormwind Champion	Minion	7	6	6		Your other minions have +1/+1.	For the Alliance!	Aura		
CS2_131	Stormwind Knight	Minion	4	2	5		<b>Charge</b>		Charge		
EX1_306	Succubus	Minion	2	4	3		<b>Battlecry:</b> Discard a random card.		Battlecry	Warlock	Demon
CS2_012	Swipe	Spell	4				Deal $4 damage to an enemy and $1 damage to all other enemies.			Druid	
HERO_02	Thrall	Hero			30					Shaman	
DS1_175	Timber Wolf	Minion	1	1	1		Your other Beasts have +1 Attack.		Aura	Hunter	Beast
CS2_049	Totemic Call	Hero Power	2				<b>Hero Power</b>\nSummon a random Totem.			Shaman	
EX1_244e	Totemic Might	Enchantment					+2 Health.			Shaman	
EX1_244	Totemic Might	Spell	0				Give your Totems +2 Health.			Shaman	
DS1_184	Tracking	Spell	1				Look at the top three cards of your deck. Draw one and discard the others.			Hunter	
CS2_097	Truesilver Champion	Weapon	4	4		2	Whenever your hero attacks, restore 2 Health to it.			Paladin	
DS1_178	Tundra Rhino	Minion	5	2	5		Your Beasts have <b>Charge</b>.			Hunter	Beast
HERO_04	Uther Lightbringer	Hero			30					Paladin	
HERO_03	Valeera Sanguinar	Hero			30					Rogue	
NEW1_004	Vanish	Spell	6				Return all minions to their owner's hand.","artist":"Sean Oâ€™Daniels","collectible":tru			Rogue	
CS2_065	Voidwalker	Minion	1	1	3		<b>Taunt</b>		Taunt	Warlock	Demon
EX1_011	Voodoo Doctor	Minion	1	2	1		<b>Battlecry:</b> Restore 2 Health.		Battlecry		
CS2_186	War Golem	Minion	7	7	7						
EX1_084	Warsong Commander	Minion	3	2	3		Whenever you summon a minion with 3 or less Attack, give it <b>Charge</b>.			Warrior	
CS2_033	Water Elemental	Minion	4	3	6		<b>Freeze</b> any character damaged by this minion.	Frostbolt	Freeze	Mage	
EX1_400	Whirlwind	Spell	1				Deal $1 damage to ALL minions.			Warrior	
CS2_082	Wicked Knife	Weapon	1	1		2				Rogue	
CS2_013	Wild Growth	Spell	2				Gain an empty Mana Crystal.			Druid	
CS2_039	Windfury	Spell	2				Give a minion <b>Windfury</b>.			Shaman	
EX1_587	Windspeaker	Minion	4	3	3		<b>Battlecry:</b> Give a friendly minion <b>Windfury</b>.		Battlecry	Shaman	
CS2_124	Wolfrider	Minion	3	3	1		<b>Charge</b>		Charge		
CS2_052	Wrath of Air Totem	Minion	1	0	2		<b>Spell Damage +1</b>","race":"Totem		Spellpower	Shaman	Totem
BRM_016	Axe Flinger	Minion	4	2	5		Whenever this minion takes damage, deal 2 damage to the enemy hero.			Warrior	
BRM_034	Blackwing Corruptor	Minion	5	5	4		<b>Battlecry</b>: If you're holding a Dragon, deal 3 damage.		Battlecry		
BRM_033	Blackwing Technician	Minion	3	2	4		<b>Battlecry:</b> If you're holding a Dragon, gain +1/+1.		Battlecry		
BRM_031	Chromaggus	Minion	8	6	8		Whenever you draw a card, put another copy into your hand.				Dragon
BRM_014	Core Rager	Minion	4	4	4		<b>Battlecry:</b> If your hand is empty, gain +3/+3.		Battlecry	Hunter	Beast
BRM_008	Dark Iron Skulker	Minion	5	4	3		<b>Battlecry:</b> Deal 2 damage to all undamaged enemy minions.		Battlecry	Rogue	
BRM_005	Demonwrath	Spell	3				Deal $2 damage to all non-Demon minions.		AffectedBySpellPower	Warlock	
BRM_018	Dragon Consort	Minion	5	5	5		<b>Battlecry:</b> The next Dragon you play costs (2) less.		Battlecry	Paladin	Dragon
BRM_022	Dragon Egg	Minion	1	0	2		Whenever this minion takes damage, summon a 2/1 Whelp.				
BRM_003	Dragon's Breath	Spell	5				Deal $4 damage. Costs (1) less for each minion that died this turn.			Mage	
BRM_003e	Dragon's Might	Enchantment					Costs (3) less this turn.		OneTurnEffect	Mage	
BRM_020	Dragonkin Sorcerer	Minion	4	3	5		Whenever you target this minion with a spell, gain +1/+1.				Dragon
BRM_024	Drakonid Crusher	Minion	6	6	6		<b>Battlecry:</b> If your opponent has 15 or less Health, gain +3/+3.		Battlecry		Dragon
BRM_010	Druid of the Flame	Minion	3	2	2		<b>Choose One</b> - Transform into a 5/2 minion; or a 2/5 minion.			Druid	
BRM_010t2	Druid of the Flame	Minion	3	2	5					Druid	Beast
BRM_010t	Druid of the Flame	Minion	3	5	2					Druid	Beast
BRM_028	Emperor Thaurissan	Minion	6	5	5		At the end of your turn, reduce the Cost of cards in your hand by (1).				
BRM_010b	Fire Hawk Form	Spell					Transform into a 2/5 minion.","race":"Beast			Druid	Beast
BRM_010a	Firecat Form	Spell					Transform into a 5/2 minion.","race":"Beast			Druid	Beast
BRM_012	Fireguard Destroyer	Minion	4	3	6		<b>Battlecry:</b> Gain 1-4 Attack. <b>Overload:</b> (1)		Battlecry	Shaman	
BRM_002	Flamewaker	Minion	3	2	4		After you cast a spell, deal 2 damage randomly split among all enemies.			Mage	
BRM_007	Gang Up	Spell	2				Choose a minion. Shuffle 3 copies of it into your deck.			Rogue	
BRM_019	Grim Patron	Minion	5	3	3		Whenever this minion survives damage, summon another Grim Patron.				
BRM_026	Hungry Dragon	Minion	4	5	6		<b>Battlecry:</b> Summon a random 1-Cost minion for your opponent.		Battlecry		Dragon
BRM_006t	Imp	Minion	1	1	1					Warlock	Demon
BRM_006	Imp Gang Boss	Minion	3	2	4		Whenever this minion takes damage, summon a 1/1 Imp.			Warlock	Demon
BRM_011	Lava Shock	Spell	2				Deal $2 damage.\nUnlock your <b>Overloaded</b> Mana Crystals.			Shaman	
BRM_011t	Lava Shock	Enchantment					Cards you play this turn don't cause <b>Overload</b>.		OneTurnEffect	Shaman	
BRM_027	Majordomo Executus	Minion	9	9	7		<b>Deathrattle:</b> Replace your hero with Ragnaros, the Firelord.		Deathrattle		
BRM_001e	Melt	Enchantment					Attack changed to 0 this turn.		OneTurnEffect	Priest	
BRM_030	Nefarian	Minion	9	8	8		<b>Battlecry:</b> Add 2 random spells to your hand <i>(from your opponent's class)</i>.		Battlecry		Dragon
BRM_014e	Power Rager	Enchantment					+3/+3			Hunter	
BRM_013	Quick Shot	Spell	2				Deal $3 damage.\nIf your hand is empty, draw a card.		AffectedBySpellPower	Hunter	
BRM_029	Rend Blackhand	Minion	7	8	4		<b>Battlecry:</b> If you're holding a Dragon, destroy a <b>Legendary</b> minion.		Battlecry		
BRM_017	Resurrect	Spell	2				Summon a random friendly minion that died this game.			Priest	
BRM_015	Revenge	Spell	2				Deal $1 damage to all minions. If you have 12 or less Health, deal $3 damage instead.			Warrior	
BRM_001	Solemn Vigil	Spell	5				Draw 2 cards. Costs (1) less for each minion that died this turn.			Paladin	
BRM_004	Twilight Whelp	Minion	1	2	1		<b>Battlecry:</b> If you're holding a Dragon, gain +2 Health.		Battlecry	Priest	Dragon
BRM_018e	Unchained!	Enchantment					Your next Dragon costs (2) less.			Paladin	
BRM_025	Volcanic Drake	Minion	6	6	4		Costs (1) less for each minion that died this turn.				Dragon
BRM_009	Volcanic Lumberer	Minion	9	7	8		<b>Taunt</b>\nCosts (1) less for each minion that died this turn.		Taunt	Druid	
EX1_097	Abomination	Minion	5	4	4		<b>Taunt</b>. <b>Deathrattle:</b> Deal 2 damage to ALL characters.		Deathrattle,Taunt		
CS2_188	Abusive Sergeant	Minion	1	2	1		<b>Battlecry:</b> Give a minion +2 Attack this turn.		Battlecry		
EX1_007	Acolyte of Pain	Minion	3	1	3		Whenever this minion takes damage, draw a card.				
NEW1_010	Al'Akir the Windlord	Minion	8	3	5		<b>Windfury, Charge, Divine Shield, Taunt</b>		Charge,Divine Shield,Taunt,Windfury	Shaman	
EX1_006	Alarm-o-Bot	Minion	3	0	3		At the start of your turn, swap this minion with a random one in your hand.				Mech
EX1_382	Aldor Peacekeeper	Minion	3	3	3		<b>Battlecry:</b> Change an enemy minion's Attack to 1.		Battlecry	Paladin	
EX1_561	Alexstrasza	Minion	9	8	8		<b>Battlecry:</b> Set a hero's remaining Health to 15.		Battlecry		Dragon
EX1_393	Amani Berserker	Minion	2	2	3		<b>Enrage:</b> +3 Attack		Enrage		
CS2_038e	Ancestral Spirit	Enchantment					<b>Deathrattle:</b> Resummon this minion.			Shaman	
CS2_038	Ancestral Spirit	Spell	2				Give a minion \"<b>Deathrattle:</b> Resummon this minion.\"			Shaman	
EX1_057	Ancient Brewmaster	Minion	4	5	4		<b>Battlecry:</b> Return a friendly minion from the battlefield to your hand.		Battlecry		
EX1_584	Ancient Mage	Minion	4	2	5		<b>Battlecry:</b> Give adjacent minions <b>Spell Damage +1</b>.		Battlecry		
NEW1_008b	Ancient Secrets	Spell					Restore 5 Health.			Druid	
NEW1_008a	Ancient Teachings	Spell					Draw 2 cards.			Druid	
EX1_045	Ancient Watcher	Minion	2	4	5		Can't Attack.				
NEW1_008	Ancient of Lore	Minion	7	5	5		<b>Choose One -</b> Draw 2 cards; or Restore 5 Health.			Druid	
EX1_178	Ancient of War	Minion	7	5	5		<b>Choose One</b> -\n+5 Attack; or +5 Health and <b>Taunt</b>.			Druid	
EX1_009	Angry Chicken	Minion	1	1	1		<b>Enrage:</b> +5 Attack.		Enrage		Beast
EX1_398	Arathi Weaponsmith	Minion	4	3	3		<b>Battlecry:</b> Equip a 2/2 weapon.		Battlecry	Warrior	
EX1_089	Arcane Golem	Minion	3	4	2		<b>Charge</b>. <b>Battlecry:</b> Give your opponent a Mana Crystal.		Battlecry,Charge		
EX1_559	Archmage Antonidas	Minion	7	5	7		Whenever you cast a spell, add a 'Fireball' spell to your hand.	Grand Magus		Mage	
EX1_067	Argent Commander	Minion	6	4	2		<b>Charge</b>, <b>Divine Shield</b>		Charge,Divine Shield		
EX1_362	Argent Protector	Minion	2	2	2		<b>Battlecry:</b> Give a friendly minion <b>Divine Shield</b>.		Battlecry	Paladin	
EX1_008	Argent Squire	Minion	1	1	1		<b>Divine Shield</b>		Divine Shield		
EX1_402	Armorsmith	Minion	2	1	4		Whenever a friendly minion takes damage, gain 1 Armor.	Smithing		Warrior	
EX1_383t	Ashbringer	Weapon	5	5		3				Paladin	
EX1_591	Auchenai Soulpriest	Minion	4	3	5		Your cards and powers that restore Health now deal damage instead.		Aura	Priest	
EX1_384	Avenging Wrath	Spell	6				Deal $8 damage randomly split among all enemies.		ImmuneToSpellpower	Paladin	
EX1_284	Azure Drake	Minion	5	4	4		<b>Spell Damage +1</b>. <b>Battlecry:</b> Draw a card.		Battlecry,Spellpower		Dragon
EX1_320	Bane of Doom	Spell	5				Deal $2 damage to a character. If that kills it, summon a random Demon.			Warlock	
EX1_249	Baron Geddon	Minion	7	7	5		At the end of your turn, deal 2 damage to ALL other characters.				
EX1_398t	Battle Axe	Weapon	1	2		2				Warrior	
EX1_392	Battle Rage	Spell	2				Draw a card for each damaged friendly character.			Warrior	
EX1_165b	Bear Form	Spell					+2 Health and <b>Taunt</b>.			Druid	
EX1_604o	Berserk	Enchantment					Increased Attack.			Warrior	
EX1_549	Bestial Wrath	Spell	1				Give a friendly Beast +2 Attack and <b>Immune</b> this turn.			Hunter	
EX1_549o	Bestial Wrath	Enchantment					+2 Attack and <b>Immune</b> this turn.		OneTurnEffect	Hunter	
EX1_126	Betrayal	Spell	2				Force an enemy minion to deal its damage to the minions next to it.			Rogue	
EX1_005	Big Game Hunter	Minion	3	4	2		<b>Battlecry:</b> Destroy a minion with an Attack of 7 or more.		Battlecry		
EX1_570	Bite	Spell	4				Give your hero +4 Attack this turn and 4 Armor.			Druid	
CS2_233	Blade Flurry	Spell	2				Destroy your weapon and deal its damage to all enemies.		AffectedBySpellPower	Rogue	
EX1_355	Blessed Champion	Spell	5				Double a minion's Attack.			Paladin	
EX1_355e	Blessed Champion	Enchantment					This minion's Attack has been doubled.			Paladin	
EX1_363	Blessing of Wisdom	Spell	1				Choose a minion. Whenever it attacks, draw a card.			Paladin	
EX1_363e	Blessing of Wisdom	Enchantment					When this minion attacks, the player who blessed it draws a card.			Paladin	
EX1_363e2	Blessing of Wisdom	Enchantment					When this minion attacks, the enemy player draws a card.			Paladin	
CS2_028	Blizzard	Spell	6				Deal $2 damage to all enemy minions and <b>Freeze</b> them.		Freeze	Mage	
EX1_323w	Blood Fury	Weapon	3	3		8				Warlock	
CS2_059	Blood Imp	Minion	1	0	1		<b>Stealth</b>. At the end of your turn, give another random friendly minion +1 Health.	Blood Pact	Stealth	Warlock	Demon
EX1_590	Blood Knight	Minion	3	3	3		<b>Battlecry:</b> All minions lose <b>Divine Shield</b>. Gain +3/+3 for each Shield lost.		Battlecry		
CS2_059o	Blood Pact	Enchantment					Increased Health.			Warlock	
EX1_012	Bloodmage Thalnos	Minion	2	1	1		<b>Spell Damage +1</b>. <b>Deathrattle:</b> Draw a card.		Deathrattle,Spellpower		
EX1_411e	Bloodrage	Enchantment					No durability loss.			Warrior	
NEW1_025	Bloodsail Corsair	Minion	1	1	2		<b>Battlecry:</b> Remove 1 Durability from your opponent's weapon.		Battlecry		Pirate
NEW1_018	Bloodsail Raider	Minion	2	2	3		<b>Battlecry:</b> Gain Attack equal to the Attack of your weapon.		Battlecry		Pirate
